2026-09-13 15:05:19 | INFO     | __main__ | Loading data from C:\Users\user\OneDrive\Documents\AI ML and DS Course NUS\Capstone Project\smart-city-traffic-capstone\data\Metro_Interstate_Traffic_Volume.csv
2026-09-13 15:05:19 | INFO     | __main__ | Loaded 48204 rows and 9 columns
2026-09-13 15:05:19 | INFO     | __main__ | Schema validation passed: all 9 expected columns are present.
2026-09-13 15:05:19 | INFO     | __main__ | 'holiday' already parsed as missing (NaN) for 48143 non-holiday rows (pandas recognised the source CSV's literal 'None' text automatically).
2026-09-13 15:05:19 | WARNING  | __main__ | Standardised casing to lowercase in 1730 rows of 'weather_description' (merging case-variant duplicates such as 'Sky is Clear' / 'sky is clear').
2026-09-13 15:05:19 | INFO     | __main__ | 'weather_description' now has 37 unique values (was 38 before standardisation).
2026-09-13 15:05:19 | INFO     | __main__ | All 48204 values in 'date_time' parsed successfully as datetimes (was dtype 'object').
2026-09-13 15:05:19 | INFO     | __main__ | 'date_time' range: 2012-10-02 09:00:00 to 2018-09-30 23:00:00.
2026-09-13 15:05:19 | WARNING  | __main__ | Removed 17 exact duplicate rows.
2026-09-13 15:05:19 | WARNING  | __main__ | Collapsed 5430 duplicate-timestamp hours (7612 rows removed) down to one row per hour; 0 of these hours had inconsistent traffic_volume across duplicates.
2026-09-13 15:05:19 | WARNING  | __main__ | Found 10 rows with physically impossible 'temp' readings (<= 0 Kelvin).
2026-09-13 15:05:19 | WARNING  | __main__ | Found 1 rows with physically implausible 'rain_1h' readings (> 1000mm/hour): [9831.3]
2026-09-13 15:05:19 | WARNING  | __main__ | Imputed 4 missing 'temp' value(s) in month 1 using that month's median (265.48).
2026-09-13 15:05:19 | WARNING  | __main__ | Imputed 6 missing 'temp' value(s) in month 2 using that month's median (265.89).
2026-09-13 15:05:19 | WARNING  | __main__ | Imputed 1 missing 'rain_1h' value(s) in month 7 using that month's median (0.00).
2026-09-13 15:05:19 | INFO     | __main__ | Pipeline completed successfully. Final shape: 40575 rows, 9 columns.
2026-09-13 15:06:10 | INFO     | pipeline | Loading data from C:\Users\user\OneDrive\Documents\AI ML and DS Course NUS\Capstone Project\smart-city-traffic-capstone\data\Metro_Interstate_Traffic_Volume.csv
2026-09-13 15:06:10 | INFO     | pipeline | Loaded 48204 rows and 9 columns
2026-09-13 15:06:10 | INFO     | pipeline | Schema validation passed: all 9 expected columns are present.
2026-09-13 15:06:10 | INFO     | pipeline | 'holiday' already parsed as missing (NaN) for 48143 non-holiday rows (pandas recognised the source CSV's literal 'None' text automatically).
2026-09-13 15:06:10 | WARNING  | pipeline | Standardised casing to lowercase in 1730 rows of 'weather_description' (merging case-variant duplicates such as 'Sky is Clear' / 'sky is clear').
