antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"time_of_day_Night, weather_bucket_Clouds, weekday_type_Weekend",congestion_level_Low,0.018459642637091805,0.25000616142945165,0.01678373382624769,0.9092122830440589,3.636759501627828,1.0,0.012168709429188927,8.260961545431494,0.7386654339917554,0.06668625146886016,0.8789487162601521,0.48817278190057833
"time_of_day_Night, weather_bucket_LowVisibility, weekday_type_Weekend",congestion_level_Low,0.009685767097966728,0.25000616142945165,0.008798521256931608,0.9083969465648855,3.6334982360873647,1.0,0.006377019804269267,8.187432737728482,0.7318718737308273,0.035068762278978385,0.8778615920236018,0.4717950821152503
"time_of_day_Night, weather_bucket_Precipitation, weekday_type_Weekend",congestion_level_Low,0.012347504621072088,0.25000616142945165,0.011164510166358596,0.9041916167664672,3.6166773314569602,1.0,0.008077557932811948,7.828060690080109,0.7325482625355014,0.04444662480376767,0.8722544395616117,0.47442427841477935
"time_of_day_Night, weekday_type_Weekend",congestion_level_Low,0.07179297597042514,0.25000616142945165,0.06434996919285274,0.8963268108479231,3.5852188830988245,1.0,0.046401282852889886,7.234212091907309,0.776849326878776,0.24995213478843578,0.861767945521162,0.5768601719854758
"time_of_day_Night, weather_bucket_Clear, weekday_type_Weekend",congestion_level_Low,0.030191004313000615,0.25000616142945165,0.026568083795440543,0.88,3.5199132492113563,1.0,0.01902014669744724,6.2499486547545695,0.7381887489892572,0.10475172480808476,0.8399986855509185,0.493134858044164
"time_of_day_Morning Rush, weather_bucket_LowVisibility, weekday_type_Weekday",congestion_level_Severe,0.020234134319162045,0.24995686999383857,0.01747381392483056,0.8635809987819733,3.4549200380180007,1.0,0.012416153043377906,5.498084015491596,0.7252321452532511,0.06914374878096353,0.8181184577786799,0.466744157446597
"time_of_day_Night, weather_bucket_Clouds",congestion_level_Low,0.0684411583487369,0.25000616142945165,0.05882932840418977,0.8595606769895572,3.4381579720870743,1.0,0.04171861712163679,5.340340742847216,0.7612472231004701,0.22659958230491742,0.81274603098325,0.5474360955925703
"time_of_day_Night, weather_bucket_Precipitation",congestion_level_Low,0.04660505237215034,0.25000616142945165,0.039950708564386934,0.857218402961396,3.4287891068768372,1.0,0.02829915831760707,5.252734624951502,0.7429783970354458,0.1556558478970616,0.8096229732890355,0.5085086494302248
"time_of_day_Night, weather_bucket_Clear",congestion_level_Low,0.0969562538508934,0.25000616142945165,0.08308071472581639,0.8568886629384851,3.427470179291111,1.0,0.05884105387397504,5.2406319021963395,0.7842805219444987,0.3148407583823667,0.8091833163132671,0.5946016658541006
time_of_day_Night,congestion_level_Low,0.2510659272951325,0.25000616142945165,0.21422057917436846,0.8532443310101109,3.412893210837465,1.0,0.15145255042558659,5.110493132788076,0.9439996054101575,0.7467995532262222,0.8043241671563619,0.8550527648741406
"time_of_day_Evening, weather_bucket_Clouds, weekday_type_Weekday",congestion_level_Medium,0.04364756623536661,0.25000616142945165,0.03711645101663586,0.8503670242800677,3.401384267563461,1.0,0.026204290526394114,5.012222973994116,0.7382237192178952,0.1446824863099241,0.8004877266656945,0.4994145846952389
"time_of_day_Night, weather_bucket_Clear, weekday_type_Weekday",congestion_level_Low,0.06676524953789278,0.25000616142945165,0.05651263093037585,0.8464377999261721,3.3856677574925502,1.0,0.0398209071765278,4.8839742997298465,0.7550482778703491,0.21714015151515154,0.7952487178207891,0.53624137630378
"time_of_day_Morning Rush, weather_bucket_Clear, weekday_type_Weekday",congestion_level_Severe,0.03433148490449784,0.24995686999383857,0.02895871842267406,0.8435032304379039,3.3745951069826416,1.0,0.020377327913705064,4.792706789443042,0.7286849910456062,0.11341698841698841,0.7913496393723244,0.47967904570603537
"time_of_day_Night, weather_bucket_Clouds, weekday_type_Weekday",congestion_level_Low,0.0499815157116451,0.25000616142945165,0.04204559457794208,0.8412228796844181,3.364808590614675,1.0,0.029549907692447863,4.723563678947428,0.7397816845810344,0.16300401299445824,0.7882954337088911,0.504700556561452
"time_of_day_Night, weather_bucket_Precipitation, weekday_type_Weekday",congestion_level_Low,0.03425754775107825,0.25000616142945165,0.028786198398028342,0.8402877697841727,3.3610682431972405,1.0,0.020221600384795126,4.6959073676264085,0.7273942887706891,0.11267605633802814,0.787048610265611,0.4777148628100674
"time_of_day_Evening, weather_bucket_Clouds",congestion_level_Medium,0.06121996303142329,0.25000616142945165,0.05141096734442391,0.8397745571658616,3.3590154433167223,1.0,0.036105599384084835,4.68086606786242,0.7480918745499028,0.19787516600265603,0.7863643211529306,0.5227066792138456
"time_of_day_Evening, weather_bucket_Precipitation, weekday_type_Weekend",congestion_level_Medium,0.008133086876155268,0.25000616142945165,0.006826863832409119,0.8393939393939395,3.357493009750502,1.0,0.0047935420019292905,4.669772957137379,0.7079162691690292,0.027164852407570852,0.7858568266211788,0.4333503608641622
"time_of_day_Night, weekday_type_Weekday",congestion_level_Low,0.17927295132470733,0.25000616142945165,0.14987060998151572,0.8359912015397306,3.343882393777067,1.0,0.1050512675726967,4.572887830479607,0.8540554638937115,0.5363852871129928,0.7813198055428533,0.7177294335774362
"time_of_day_Evening, weather_bucket_Clear, weekday_type_Weekend",congestion_level_Medium,0.018927911275415897,0.25000616142945165,0.015650030807147258,0.8268229166666666,3.307210158098383,1.0,0.010917936365303292,4.330791488888579,0.7110897877534695,0.06178845966721806,0.7690953252850711,0.4447107485541535
"time_of_day_Night, weather_bucket_LowVisibility",congestion_level_Low,0.035736290819470114,0.25000616142945165,0.029476278496611212,0.8248275862068966,3.2992290329598606,1.0,0.020541985605108934,4.28146088947754,0.7227264470492696,0.115022119638392,0.7664348628157086,0.4713648972043947
"time_of_day_Midday, weather_bucket_Clouds, weekday_type_Weekend",congestion_level_High,0.03194085027726432,0.25003080714725817,0.02632162661737523,0.8240740740740742,3.295890148403702,1.0,0.018335430041581106,4.262982780426114,0.7195756888705432,0.10295960667116552,0.7654224632124732,0.46467380391727364
"time_of_day_Morning Rush, weekday_type_Weekday",congestion_level_Severe,0.11746149106592729,0.24995686999383857,0.09673444239063463,0.8235417540914813,3.2947354242025098,1.0,0.06737413573898621,4.250541685623502,0.7891842512637378,0.3573704816534644,0.7647358680465894,0.6052731448430193
"time_of_day_Evening, weather_bucket_Precipitation",congestion_level_Medium,0.031078250154035737,0.25000616142945165,0.0255822550831793,0.8231562252180809,3.2925437537681024,1.0,0.01781250105822456,4.240996549046912,0.7186168120452661,0.10012539789717372,0.76420636318963,0.4627413618203969
"time_of_day_Evening, weekday_type_Weekend",congestion_level_Medium,0.048207024029574864,0.25000616142945165,0.039654959950708564,0.8225971370143149,3.2903074560682004,1.0,0.027602906919137214,4.227630974766549,0.731332392555914,0.1533695548565437,0.7634609061271673,0.490606533806842
time_of_day_Evening,congestion_level_Medium,0.16936537276648184,0.25000616142945165,0.13905113986444856,0.8210128055878929,3.2839702865466043,1.0,0.09670875314003224,4.190209478582771,0.8373002074137132,0.4960436082292949,0.7613484468709131,0.6886018286614544
"time_of_day_Evening, weekday_type_Weekday",congestion_level_Medium,0.12115834873690697,0.25000616142945165,0.09939617991373999,0.8203824247355573,3.2814488252804845,1.0,0.06910584622089502,4.175503635801602,0.7911056104087908,0.3657386415162782,0.7605079321627695,0.608978672935602
"time_of_day_Evening, weather_bucket_Precipitation, weekday_type_Weekday",congestion_level_Medium,0.02294516327788047,0.25000616142945165,0.01875539125077018,0.8174006444683136,3.2695219981567254,1.0,0.013018959056295267,4.1073191982892965,0.7104461971732386,0.07378320729106069,0.7565321924781251,0.4462101802783208
"time_of_day_Evening, weather_bucket_Clear",congestion_level_Medium,0.06398028342575478,0.25000616142945165,0.052051756007393715,0.8135593220338982,3.254157087098326,1.0,0.0360562909409524,4.022694225060213,0.7400493255044454,0.1987203613097478,0.7514103871553818,0.5108806073891888
