hour,time_shap_contribution
0,-2424.038246593948
1,-2749.4163040765156
2,-2878.5143534884032
3,-2897.977055107493
4,-2574.305010038714
5,-1188.2175654343484
6,875.2770060045733
7,1487.5671428093012
8,1338.888252541958
9,1085.9603907769442
10,920.4028986448011
11,1212.0627320213177
12,1444.6576684175031
13,1450.1906944073721
14,1669.362193268273
15,1973.1957991536121
16,2362.9426164025635
17,2076.726373078151
18,1018.0485495436781
19,12.49371248652753
20,-428.68702311697047
21,-573.9945094461985
22,-1046.857835735517
23,-1802.1325558436884
